word;desc;dialect
cim;desc_cim;catala
nan;desc_nan;catala
cau;desc_cau;catala
pes;desc_pes;catala
puja;desc_puja;catala
pont;desc_pont;catala
grup;desc_grup;catala
cint;desc_cint;catala
copa;desc_copa;catala
cama;desc_cama;catala
fila;desc_fila;catala
sota;desc_sota;catala
faixa;desc_faixa;catala
banda;desc_banda;catala
colla;desc_colla;catala
torre;desc_torre;catala
gralla;desc_gralla;catala
camisa;desc_camisa;catala
barret;desc_barret;catala
assaig;desc_assaig;catala
esforç;desc_esforç;catala
altura;desc_altura;catala
unitat;desc_unitat;catala
públic;desc_públic;catala
suport;desc_suport;catala
castell;desc_castell;catala
sabates;desc_sabates;catala
tècnica;desc_tècnica;catala
cohesió;desc_cohesió;catala
muntatge;desc_muntatge;catala
tapacoll;desc_tapacoll;catala
pràctica;desc_pràctica;catala
enxaneta;desc_enxaneta;catala
pantalons;desc_pantalons;catala
picapolls;desc_picapolls;catala
lideratge;desc_lideratge;catala
cercavila;desc_cercavila;catala
exhibició;desc_exhibició;catala
celebració;desc_celebració;catala
festivitat;desc_festivitat;catala
espectacle;desc_espectacle;catala
escalfament;desc_escalfament;catala
coordinació;desc_coordinació;catala
