key;catala;español;english
desc_cim;cat_desc1;esp_desc1;eng_desc1
desc_nan;cat_desc2;esp_desc2;eng_desc2
desc_cau;cat_desc3;esp_desc3;eng_desc3
desc_pes;cat_desc4;esp_desc4;eng_desc4
desc_puja;cat_desc5;esp_desc5;eng_desc5
desc_pont;cat_desc6;esp_desc6;eng_desc6
desc_grup;cat_desc7;esp_desc7;eng_desc7
desc_cint;cat_desc8;esp_desc8;eng_desc8
desc_copa;cat_desc9;esp_desc9;eng_desc9
desc_cama;cat_desc10;esp_desc10;eng_desc10
desc_fila;cat_desc11;esp_desc11;eng_desc11
desc_sota;cat_desc12;esp_desc12;eng_desc12
desc_faixa;cat_desc13;esp_desc13;eng_desc13
desc_banda;cat_desc14;esp_desc14;eng_desc14
desc_colla;cat_desc15;esp_desc15;eng_desc15
desc_torre;cat_desc16;esp_desc16;eng_desc16
desc_gralla;cat_desc17;esp_desc17;eng_desc17
desc_camisa;cat_desc18;esp_desc18;eng_desc18
desc_barret;cat_desc19;esp_desc19;eng_desc19
desc_assaig;cat_desc20;esp_desc20;eng_desc20
desc_esforç;cat_desc21;esp_desc21;eng_desc21
desc_altura;cat_desc22;esp_desc22;eng_desc22
desc_unitat;cat_desc23;esp_desc23;eng_desc23
desc_públic;cat_desc24;esp_desc24;eng_desc24
desc_suport;cat_desc25;esp_desc25;eng_desc25
desc_xiquet;cat_desc26;esp_desc26;eng_desc26
desc_castell;cat_desc27;esp_desc27;eng_desc27
desc_sabates;cat_desc28;esp_desc28;eng_desc28
desc_tècnica;cat_desc29;esp_desc29;eng_desc29
desc_cohesió;cat_desc30;esp_desc30;eng_desc30
desc_muntatge;cat_desc31;esp_desc31;eng_desc31
desc_tapacoll;cat_desc32;esp_desc32;eng_desc32
desc_pràctica;cat_desc33;esp_desc33;eng_desc33
desc_enxaneta;cat_desc34;esp_desc34;eng_desc34
desc_pantalons;cat_desc35;esp_desc35;eng_desc35
desc_picapolls;cat_desc36;esp_desc36;eng_desc36
desc_lideratge;cat_desc37;esp_desc37;eng_desc37
desc_cercavila;cat_desc38;esp_desc38;eng_desc38
desc_exhibició;cat_desc39;esp_desc39;eng_desc39
desc_celebració;cat_desc40;esp_desc40;eng_desc40
desc_festivitat;cat_desc41;esp_desc41;eng_desc41
desc_espectacle;cat_desc42;esp_desc42;eng_desc42
desc_escalfament;cat_desc43;esp_desc43;eng_desc43
desc_coordinació;cat_desc44;esp_desc44;eng_desc44
desc19;cat_desc45;esp_desc45;eng_desc45
desc20;cat_desc46;esp_desc46;eng_desc46
desc21;cat_desc47;esp_desc47;eng_desc47
desc22;cat_desc48;esp_desc48;eng_desc48
desc23;cat_desc49;esp_desc49;eng_desc49
desc24;cat_desc50;esp_desc50;eng_desc50
desc25;cat_desc51;esp_desc51;eng_desc51
desc26;cat_desc52;esp_desc52;eng_desc52
desc27;cat_desc53;esp_desc53;eng_desc53
desc28;cat_desc54;esp_desc54;eng_desc54
desc29;cat_desc55;esp_desc55;eng_desc55
desc30;cat_desc56;esp_desc56;eng_desc56
desc31;cat_desc57;esp_desc57;eng_desc57
desc32;cat_desc58;esp_desc58;eng_desc58
desc;cat_desc59;esp_desc59;eng_desc59
desc_f1;cat_desc60;esp_desc60;eng_desc60
desc_f2;cat_desc61;esp_desc61;eng_desc61
desc_f3;cat_desc62;esp_desc62;eng_desc62
desc_f4;cat_desc63;esp_desc63;eng_desc63
desc_f5;cat_desc64;esp_desc64;eng_desc64
desc_f6;cat_desc65;esp_desc65;eng_desc65
desc_f7;cat_desc66;esp_desc66;eng_desc66
desc_f8;cat_desc67;esp_desc67;eng_desc67
desc_f9;cat_desc68;esp_desc68;eng_desc68
desc_f10;cat_desc69;esp_desc69;eng_desc69
desc_f11;cat_desc70;esp_desc70;eng_desc70
desc_f12;cat_desc71;esp_desc71;eng_desc71
desc_foc;cat_desc72;esp_desc72;eng_desc72
desc_fam;cat_desc73;esp_desc73;eng_desc73
desc_sou;cat_desc74;esp_desc74;eng_desc74
desc_art;cat_desc75;esp_desc75;eng_desc75
desc_som;cat_desc76;esp_desc76;eng_desc76
desc_pau;cat_desc77;esp_desc77;eng_desc77
desc_ple;cat_desc78;esp_desc78;eng_desc78
desc_sang;cat_desc79;esp_desc79;eng_desc79
desc_casa;cat_desc80;esp_desc80;eng_desc80
desc_unió;cat_desc81;esp_desc81;eng_desc81
desc_llar;cat_desc82;esp_desc82;eng_desc82
desc_marxa;cat_desc83;esp_desc83;eng_desc83
desc_volem;cat_desc84;esp_desc84;eng_desc84
desc_drets;cat_desc85;esp_desc85;eng_desc85
desc_raval;cat_desc86;esp_desc86;eng_desc86
desc_força;cat_desc87;esp_desc87;eng_desc87
desc_sense;cat_desc88;esp_desc88;eng_desc88
desc_lluita;cat_desc89;esp_desc89;eng_desc89
desc_tensió;cat_desc90;esp_desc90;eng_desc90
desc_veïnat;cat_desc92;esp_desc92;eng_desc91
desc_cobert;cat_desc93;esp_desc93;eng_desc92
desc_diàleg;cat_desc94;esp_desc94;eng_desc93
desc_trobada;cat_desc95;esp_desc95;eng_desc94
desc_reclama;cat_desc96;esp_desc96;eng_desc95
desc_pobresa;cat_desc97;esp_desc97;eng_desc96
desc_justícia;cat_desc98;esp_desc98;eng_desc97
desc_pancarta;cat_desc99;esp_desc99;eng_desc98
desc_protesta;cat_desc100;esp_desc100;eng_desc99
desc_vivienda;cat_desc101;esp_desc101;eng_desc100
desc_ocupació;cat_desc102;esp_desc102;eng_desc101
desc_just;cat_desc103;esp_desc103;eng_desc102
desc_igualtat;cat_desc104;esp_desc104;eng_desc103
desc_barricada;cat_desc105;esp_desc105;eng_desc104
desc_llibertat;cat_desc106;esp_desc106;eng_desc105
