word;desc;dialect
art;desc_art;catala
som;desc_som;catala
mag;desc_mag;catala
ball;desc_ball;catala
circ;desc_circ;catala
jocs;desc_jocs;catala
festa;desc_festa;catala
fotre;desc_fotre;catala
dansa;desc_dansa;catala
xerra;desc_xerra;catala
salta;desc_salta;catala
xalar;desc_xalar;emporda
canya;desc_canya;catala
ritme;desc_ritme;catala
música;desc_música;catala
xafogor;desc_xafogor;catala
canari;desc_canari;emporda
festeig;desc_festeig;catala
melodia;desc_melodia;catala
xerinola;desc_xerinola;catala
carnaval;desc_carnaval;catala
malabars;desc_malabars;catala
talifot;desc_talifot;emporda
esparracat;desc_esparracat;emporda
