word;desc;dialect
foc;desc_foc;catala
fam;desc_fam;catala
sou;desc_sou;catala
art;desc_art;catala
som;desc_som;catala
pau;desc_pau;catala
ple;desc_ple;catala
sang;desc_sang;catala
casa;desc_casa;catala
unió;desc_unió;catala
llar;desc_llar;catala
marxa;desc_marxa;catala
volem;desc_volem;catala
drets;desc_drets;catala
raval;desc_raval;catala
força;desc_força;catala
sense;desc_sense;catala
lluita;desc_lluita;catala
tensió;desc_tensió;catala
suport;desc_suport;catala
veïnat;desc_veïnat;catala
cobert;desc_cobert;catala
diàleg;desc_diàleg;catala
trobada;desc_trobada;catala
reclama;desc_reclama;catala
pobresa;desc_pobresa;catala
justícia;desc_justícia;catala
pancarta;desc_pancarta;catala
protesta;desc_protesta;catala
vivenda;desc_vivienda;catala
ocupació;desc_ocupació;catala
justícia;desc_just;catala
igualtat;desc_igualtat;catala
barricada;desc_barricada;catala
llibertat;desc_llibertat;catala
exigència;desc_exigència;catala
comunitat;desc_comunitat;catala
cooperació;desc_cooperació;catala
solidaritat;desc_solidaritat;catala
resistència;desc_resistència;catala
mobilització;desc_mobilització;catala
reivindicació;desc_reivindicació;catala
desnonament;desc_desnonament;catala
responsabilitat;desc_responsabilitat;catala
accessibilitat;desc_accessibilitat;catala
sostenibilitat;desc_sostenibilitat;catala
manifestació;desc_manifestació;catala
desigualtat;desc_desigualtat;catala
