word;desc;dialect
De mica en mica s'omple la pica;L’acció lenta però insistent arriba a tenir gran eficàcia;-
Qui no s'arrisca, no pisca;Per obtenir coses bones o importants s’han de posar sovint mitjans costosos, cal arriscar-se.;-
Com més serem, més riurem;Es diu en convidar algú a agregar-se a una colla.;-
A poc a poc, i bona lletra;Les coses no s’han de fer precipitadament, sinó amb precaució, amb la lentitud necessària perquè surtin bé.;-
De les pedres en fem pans;Fa palés l’esperit de superació i la cultura de l’esforç típicament catalanes. Ve a dir, que del no res podem fer-ne alguna cosa.;-
Qui té boca s'equivoca, i qui té nas es moca;Ningú és perfecte i tots fem errors;-
Fer volar coloms;Il·lusionar-se, tocar poc de peus a terra; imaginar, fer suposicions servint-se dels indicis o senyals que hom té.;-
Muts i a la gàbia;Expressió usada per a imposar silenci. També s’usa l’expressió ""fer muts i a la gàbia (o fer muts)"" en el sentit de ‘callar’;-
A fer punyetes;Engegar o enviar (algú o alguna cosa) a fer punyetes significa desentendre-se’n de mala manera.;-
Qui matina fa farina;Quan abans fem les tasques més obligatòries, com era fer pa antigament quan tocava, més temps tindrem per fer altres coses i per aprofitar així millor el dia.;-
Anar a fer un cluc;Fer una migdiada."Anar a ulls clucs" també significa anar amb absoluta confiança, sense aturar-se a considerar el que es fa;-
Tal faràs, tal trobaràs;Les males accions solen ser castigades.;-
Fer-se un tip;Fer alguna cosa fins a assaciar-se’n o cansar-se’n;-
Fer el toc;Beure una copa, fer un beure.;-
De cap i de nou;Una altra vegada, des del començament.;-
